TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 1
Start Date:,07/02/2021
Start Time:,11:59:01
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.025
,Minimum:,0
,Time of Minimum:,11:59:28
,Date of Minimum:,07/02/2021
,Maximum:,0.089
,Time of Maximum:,11:59:18
,Date of Maximum:,07/02/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/02/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/02/2021,11:59:02,0.02
07/02/2021,11:59:03,0.019
07/02/2021,11:59:04,0.024
07/02/2021,11:59:05,0.02
07/02/2021,11:59:06,0.021
07/02/2021,11:59:07,0.021
07/02/2021,11:59:08,0.03
07/02/2021,11:59:09,0.021
07/02/2021,11:59:10,0.02
07/02/2021,11:59:11,0.022
07/02/2021,11:59:12,0.024
07/02/2021,11:59:13,0.044
07/02/2021,11:59:14,0.031
07/02/2021,11:59:15,0.024
07/02/2021,11:59:16,0.02
07/02/2021,11:59:17,0.008
07/02/2021,11:59:18,0.089
07/02/2021,11:59:19,0.069
07/02/2021,11:59:20,0.005
07/02/2021,11:59:21,0.034
07/02/2021,11:59:22,0.051
07/02/2021,11:59:23,0.014
07/02/2021,11:59:24,0.011
07/02/2021,11:59:25,0.015
07/02/2021,11:59:26,0.013
07/02/2021,11:59:27,0.025
07/02/2021,11:59:28,0
07/02/2021,11:59:29,0.014
07/02/2021,11:59:30,0.023
07/02/2021,11:59:31,0.01
07/02/2021,11:59:32,0.018
07/02/2021,11:59:33,0.019
07/02/2021,11:59:34,0.018
07/02/2021,11:59:35,0.031
07/02/2021,11:59:36,0.024
07/02/2021,11:59:37,0.026
07/02/2021,11:59:38,0.025
07/02/2021,11:59:39,0.028
07/02/2021,11:59:40,0.029
07/02/2021,11:59:41,0.029
07/02/2021,11:59:42,0.031
07/02/2021,11:59:43,0.031
07/02/2021,11:59:44,0.03
07/02/2021,11:59:45,0.031
07/02/2021,11:59:46,0.034
07/02/2021,11:59:47,0.027
07/02/2021,11:59:48,0.043
07/02/2021,11:59:49,0.03
07/02/2021,11:59:50,0.027
07/02/2021,11:59:51,0.026
07/02/2021,11:59:52,0.018
07/02/2021,11:59:53,0.016
07/02/2021,11:59:54,0.023
07/02/2021,11:59:55,0.026
07/02/2021,11:59:56,0.017
07/02/2021,11:59:57,0.016
07/02/2021,11:59:58,0.018
07/02/2021,11:59:59,0.023
07/02/2021,12:00:00,0.02
07/02/2021,12:00:01,0.019

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 2
Start Date:,07/02/2021
Start Time:,12:59:02
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.02
,Minimum:,0.007
,Time of Minimum:,12:59:52
,Date of Minimum:,07/02/2021
,Maximum:,0.035
,Time of Maximum:,01:00:01
,Date of Maximum:,07/02/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/02/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/02/2021,12:59:03,0.009
07/02/2021,12:59:04,0.009
07/02/2021,12:59:05,0.012
07/02/2021,12:59:06,0.01
07/02/2021,12:59:07,0.017
07/02/2021,12:59:08,0.013
07/02/2021,12:59:09,0.021
07/02/2021,12:59:10,0.018
07/02/2021,12:59:11,0.021
07/02/2021,12:59:12,0.025
07/02/2021,12:59:13,0.03
07/02/2021,12:59:14,0.035
07/02/2021,12:59:15,0.029
07/02/2021,12:59:16,0.03
07/02/2021,12:59:17,0.026
07/02/2021,12:59:18,0.027
07/02/2021,12:59:19,0.026
07/02/2021,12:59:20,0.032
07/02/2021,12:59:21,0.031
07/02/2021,12:59:22,0.028
07/02/2021,12:59:23,0.018
07/02/2021,12:59:24,0.02
07/02/2021,12:59:25,0.017
07/02/2021,12:59:26,0.01
07/02/2021,12:59:27,0.021
07/02/2021,12:59:28,0.016
